,key,PrimaryRef,CarniBinom,PreyOrder,PreyBinom,CD.values,Valid.values,Difference,Re-entered_Full,Potential explanation,Re-entered,Correct explanation
11,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Suncus_etruscus","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Eulipotyphla,Suncus_etruscus,0.96,2.35,-1.39,0.96,Missed out 'relative frequency of occurrence',2.35,Yes
12,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_latrans Alces_alces","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_latrans,Cetartiodactyla,Alces_alces,45,45,0,,,,
13,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_latrans Canis_latrans","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_latrans,Carnivora,Canis_latrans,7.7,7.7,0,,,,
14,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_latrans Castor_canadensis","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_latrans,Rodentia,Castor_canadensis,18.5,18.5,0,,,,
15,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_latrans Cervus_elaphus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_latrans,Cetartiodactyla,Cervus_elaphus,135.2,135.2,0,,,,
16,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_latrans Lepus_americanus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_latrans,Lagomorpha,Lepus_americanus,57,57,0,,,,
17,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_latrans Martes_americana","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_latrans,Carnivora,Martes_americana,1.9,1.9,0,,,,
18,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_latrans Peromyscus_maniculatus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_latrans,Rodentia,Peromyscus_maniculatus,12.8,12.8,0,,,,
19,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_latrans Sylvilagus_nuttallii","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_latrans,Lagomorpha,Sylvilagus_nuttallii,7.8,NA,NA,,,,
20,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_latrans Tamiasciurus_hudsonicus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_latrans,Rodentia,Tamiasciurus_hudsonicus,8,8,0,,,,
21,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_latrans Urocitellus_columbianus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_latrans,Rodentia,Urocitellus_columbianus,49.4,NA,NA,,,,
22,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Alces_alces","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Cetartiodactyla,Alces_alces,99.2,99.2,0,,,,
23,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Canis_latrans","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Carnivora,Canis_latrans,11.8,11.8,0,,,,
24,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Castor_canadensis","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Rodentia,Castor_canadensis,36.9,36.9,0,,,,
25,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Cervus_elaphus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Cetartiodactyla,Cervus_elaphus,187.8,187.8,0,,,,
26,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Lepus_americanus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Lagomorpha,Lepus_americanus,11.3,11.3,0,,,,
27,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Mustela_frenata","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Carnivora,Mustela_frenata,0.9,0.9,0,,,,
28,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Neotamias_amoenus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Rodentia,Neotamias_amoenus,0.5,NA,NA,,,,
29,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Ochotona_princeps","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Lagomorpha,Ochotona_princeps,0.8,NA,NA,,,,
30,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Peromyscus_maniculatus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Rodentia,Peromyscus_maniculatus,1.9,1.9,0,,,,
31,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Sylvilagus_nuttallii","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Lagomorpha,Sylvilagus_nuttallii,3.6,NA,NA,,,,
32,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Tamiasciurus_hudsonicus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Rodentia,Tamiasciurus_hudsonicus,1,1,0,,,,
33,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Thomomys_talpoides","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Rodentia,Thomomys_talpoides,0.9,0.9,0,,,,
34,"Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766. Canis_lupus Urocitellus_columbianus","Arjo, W., Pletscher, D., & Ream, R. (2002). Dietary Overlap between Wolves and Coyotes in Northwestern Montana. Journal of Mammalogy, 83(3), 754-766.",Canis_lupus,Rodentia,Urocitellus_columbianus,8.6,NA,NA,,,,
35,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Calomys_tener","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Rodentia,Calomys_tener,4.2,87,-82.8,87,"Number of items recorded, not RFO.",4.202898551,Yes
36,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Cavia_aperea","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Rodentia,Cavia_aperea,2.03,42,-39.97,42,"Number of items recorded, not RFO.",2.028985507,Yes
37,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Clyomys _laticeps","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Rodentia,Clyomys _laticeps,2.13,NA,NA,,,0,
38,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Dasypus_novemcinctus","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Cingulata,Dasypus_novemcinctus,0.39,8,-7.61,8,"Number of items recorded, not RFO.",0.38647343,Yes
39,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Didelphis_albiventris","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Didelphiamorphia,Didelphis_albiventris,0.34,7,-6.66,7,"Number of items recorded, not RFO.",0.338164251,Yes
40,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Euphractus_sexcinctus","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Cingulata,Euphractus_sexcinctus,0.05,NA,NA,,,0,
41,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Gracilinanus_agilis","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Didelphimorphia,Gracilinanus_agilis,0.1,2,-1.9,2,"Number of items recorded, not RFO.",0.096618357,Yes
42,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Holochilus_brasiliensis","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Rodentia,Holochilus_brasiliensis,0.34,7,-6.66,7,"Number of items recorded, not RFO.",0.338164251,Yes
43,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Hydrochoerus_hydrochaeris","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Rodentia,Hydrochoerus_hydrochaeris,0.05,1,-0.95,1,"Number of items recorded, not RFO.",0.048309179,Yes
44,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Nasua_nasua","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Carnivora,Nasua_nasua,0.1,2,-1.9,2,"Number of items recorded, not RFO.",0.096618357,Yes
45,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Necromys_lasiurus","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Rodentia,Necromys_lasiurus,2.42,50,-47.58,50,"Number of items recorded, not RFO.",2.415458937,Yes
46,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Oligoryzomys_nigripes","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Rodentia,Oligoryzomys_nigripes,4.35,90,-85.65,90,"Number of items recorded, not RFO.",4.347826087,Yes
47,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Sylvilagus_brasiliensis","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Lagomorpha,Sylvilagus_brasiliensis,0.77,16,-15.23,16,"Number of items recorded, not RFO.",0.77294686,Yes
48,"Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75. Chrysocyon_brachyurus Tamandua_tetradactyla","Bueno, A. De A., and Junior Motta. ""Feeding habits of the maned wolf, Chrysocyon brachyurus (Carnivora: Canidae), in southeast Brazil.""·Studies on Neotropical Fauna and Environment·44.2 (2009): 67-75.",Chrysocyon_brachyurus,Pilosa,Tamandua_tetradactyla,0.05,1,-0.95,1,"Number of items recorded, not RFO.",0.048309179,Yes
49,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Acinonyx_jubatus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Carnivora,Acinonyx_jubatus,1.8,NA,NA,,,,
50,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Aepyceros_melampus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Aepyceros_melampus,6.5,NA,NA,,,,
51,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Alcelaphus_buselaphus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Alcelaphus_buselaphus,67.2,NA,NA,,,,
52,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Antidorcas_marsupialis","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Antidorcas_marsupialis,16.5,NA,NA,,,,
53,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Atilax_paludinosus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Carnivora,Atilax_paludinosus,37.8,NA,NA,,,,
54,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Canis_mesomelas","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Carnivora,Canis_mesomelas,1.8,NA,NA,,,,
55,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Chlorocebus_pygerythrus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Primates,Chlorocebus_pygerythrus,1.8,NA,NA,,,,
56,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Connochaetes_gnou","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Connochaetes_gnou,9.8,NA,NA,,,,
57,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Damaliscus_pygargus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Damaliscus_pygargus,1.8,NA,NA,,,,
58,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Elephantulus_myurus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Macroscelidea,Elephantulus_myurus,1.8,NA,NA,,,,
